header,date,link,brief,tags
Вологодчина будет поставлять продукты деревообработки в Египет и Киргизию ,22:14 16.05.2025,https://ria.ru/20250516/eksport-2017506202.html,Вологодская область поставит продукты деревообработки в Египет и Киргизию,"Вологодская область,Экономика,Египет,Республика Татарстан (Татарстан),Георгий Филимонов,Вологодская область,Технологии"
"В ""Ростехе"" рассказали о новых проектах в области роботизации производств ",12:25 25.05.2025,https://ria.ru/20250525/rostehi-2018957142.html,"""Ростех"" развивает проекты цифровых двойников и искусственного интеллекта","Экономика,Технологии,Россия,Владимир Путин,Ростех,Объединенная двигателестроительная корпорация,Ил-114-300"
Мишустин поздравил химиков с профессиональным праздником ,11:19 25.05.2025,https://ria.ru/20250525/mishustin-2018952303.html,Мишустин: разработки в области химии успешно конкурируют с зарубежными аналогами,"Экономика,Технологии,Россия,Михаил Мишустин"
В России продажи плюшевых монстров Лабубу выросли в 13 раз ,09:21 25.05.2025,https://ria.ru/20250525/prodazhi-2018941620.html,"""Платформа ОФД"": продажи плюшевых игрушек Лабубу в мае подскочили в 13 раз","Экономика,Технологии,Россия"
Эксперты рассказали о росте покупок коллекционных фигурок в России ,23:43 24.05.2025,https://ria.ru/20250524/rossiya-2018920892.html,"""Платформа ОФД"": россияне стали чаще покупать коллекционные фигурки","Технологии,Россия,Экономика"
В Госдуме высказались о проекте внедрения цифрового рубля в бюджет ,14:56 24.05.2025,https://ria.ru/20250524/gosduma-2018852686.html,Депутат Гаврилов: внедрение цифрового рубля в бюджет ставит новую задачу,"Технологии,Россия,Сергей Гаврилов,Госдума РФ,КПРФ,Экономика"
"""БАС"" откроет сеть центров ремонта беспилотников в регионах к 2026 году ",02:38 23.05.2025,https://ria.ru/20250523/bas-2018566216.html,"""БАС"" планирует открыть сеть центров ТОиР беспилотников в регионах к 2026 году","Экономика,Технологии,Россия,Нижний Новгород,Пермь"
СМИ: инвесторы хотят купить OnlyFans за восемь миллиардов долларов ,00:54 23.05.2025,https://ria.ru/20250523/onlyfans-2018561821.html,Reuters: инвесторы хотят купить OnlyFans за восемь миллиардов долларов,"Экономика,Технологии,Лос-Анджелес,Лондон,OnlyFans"
Путин обсудит с правительством механизмы поддержки инвестпроектов ,00:30 22.05.2025,https://ria.ru/20250522/putin-2018365884.html,Путин обсудит с правительством меры поддержки инвестпроектов в промышленности,"Экономика,Технологии,Россия,Челябинск,Владимир Путин,Антон Алиханов,Максим Решетников,Министерство экономического развития РФ (Минэкономразвития России),Центральный Банк РФ (ЦБ РФ),Фонд развития промышленности"
Совфед распространил антиотмывочный закон на операции с цифровым рублем ,15:12 21.05.2025,https://ria.ru/20250521/rubl-2018266607.html,СФ одобрил закон об антиотмывочных требованиях для операций с цифровым рублем,"Экономика,Технологии,Россия,Центральный Банк РФ (ЦБ РФ),Совет Федерации РФ,Федеральная служба по финансовому мониторингу (Росфинмониторинг)"
Поставки банкоматов в Россию из Китая выросли ,05:22 21.05.2025,https://ria.ru/20250521/bankomat-2018163265.html,Поставки банкоматов в Россию из Китая в апреле выросли более чем втрое,"Экономика,Технологии,Россия,Китай,Пакистан"
Набиуллина: ИИ не может принимать решения по ключевой ставке ,11:20 20.05.2025,https://ria.ru/20250520/nabiullina-2018012413.html,Набиуллина: возможности ИИ в анализе ситуации с ключевой ставкой ограничены,"Россия,Центральный Банк РФ (ЦБ РФ),Альфа-банк,Эльвира Набиуллина,Владимир Верхошинский,Экономика"
Минтранс рассказал о разработке законопроекта о беспилотном транспорте ,10:19 20.05.2025,https://ria.ru/20250520/transport-2018000662.html,Минтранс представит законопроект о беспилотном транспорте до конца года ,"Экономика,Технологии,Россия,Министерство транспорта РФ (Минтранс России)"
Бизнес получил более 300 тысяч региональных мер поддержки через МСП.РФ ,10:00 20.05.2025,https://ria.ru/20250520/biznes-2017948787.html,Более 300 тысяч региональных мер поддержки получили предприниматели через МСП.РФ,"Твой бизнес,Экономика,Твой бизнес – новости,Поддержка бизнеса,Корпорация МСП,Александр Исаевич"
"Банки на Кубе могут начать выпускать карты ""Мир"" ",02:10 20.05.2025,https://ria.ru/20250520/banki-2017968080.html,Кубинские банки могут начать выпускать карты российской платежной системы Мир,"Куба,Россия,Экономика"
Intel анонсировала новые графические процессоры для ИИ ,23:29 19.05.2025,https://ria.ru/20250519/intel-2017957792.html,Intel анонсировала графические процессоры Arc Pro для искусственного интеллекта,"Экономика,Технологии,Тайвань,В мире,США,Intel Corporation,ИИ,Искусственный интеллект (ИИ),процессоры"
Мантуров заявил о росте производства компонентов для боеприпасов ,15:09 17.05.2025,https://ria.ru/20250517/rossiya-2017562998.html,Мантуров отметил рост производства компонентов для боеприпасов в России,"Россия,Денис Мантуров,Экономика,Технологии"
В Сбербанке прокомментировали эксперимент по развитию исламского банкинга ,08:15 17.05.2025,https://ria.ru/20250517/sberbank-2017531816.html,"Ганеев: исламский банкинг не конкурент традиционным банкам, а донастройка","Экономика,Технологии,Россия,Казань,Олег Ганеев,Сбербанк России,Госдума РФ"
"Эксперты рассказали, где можно обменять рубли за рубежом ",08:14 17.05.2025,https://ria.ru/20250517/eksperty-2017531561.html,Российские туристы могут обменять рубли в десяти странах мира,"Экономика,Технологии,ОАЭ,Турция,Россия,Никита Кондратьев,Министерство экономического развития РФ (Минэкономразвития России)"
Минпромторг поддержал идею создать единый реестр оборудования для майнинга ,07:03 17.05.2025,https://ria.ru/20250517/mayning-2017528412.html,Минэнерго: Минпромторг поддержал идею единого реестра оборудования для майнинга,"Технологии,Экономика,Россия,Евгений Грабчак,Министерство промышленности и торговли РФ (Минпромторг России),Министерство энергетики РФ (Минэнерго России)"
На HeliRussia обсудили интеграцию беспилотников в логистические процессы ,19:00 16.05.2025,https://ria.ru/20250516/eksperty-2017476446.html,В Москве прошла экспертная сессия по интеграции БВС в логистические процессы,"Экономика,Технологии,Россия"
Мошенники похитили у россиян почти семь миллиардов рублей за три месяца ,15:09 16.05.2025,https://ria.ru/20250516/moshenniki-2017387152.html,"ЦБ: мошенники в I квартале похитили у россиян почти 6,9 миллиарда рублей","Экономика,Технологии,Центральный Банк РФ (ЦБ РФ)"
Доля поступлений в бюджет Москвы от сферы информационных технологий выросла ,12:36 16.05.2025,https://ria.ru/20250516/dolja-2017319347.html,Доля поступлений в бюджет Москвы от сферы IT составляет около 20-25%,"Экономика,Технологии,Москва,Казань,Сергей Черемин"
Сбербанк рассказал о новых схемах мошенников ,11:33 16.05.2025,https://ria.ru/20250516/sberbank-2017305875.html,Сбербанк: телефонные мошенники стали направлять россиян за займами в МФО,"Экономика,Технологии,Сбер,Сбербанк России"
Колумбия присоединится к Новому банку развития БРИКС ,11:08 16.05.2025,https://ria.ru/20250516/petro-2017300139.html,Петро: Колумбия запускает процесс присоединения к Новому банку развития БРИКС,"Колумбия,БРИКС,Новый банк развития,Густаво Петро,Шанхай,Дилма Руссефф,Экономика,Дурбан"
ЦБ расширит требования к иностранным цифровым правам ,19:50 15.05.2025,https://ria.ru/20250515/tsb-2017204065.html,ЦБ расширит требования к иностранным цифровым правам с 26 мая,"Экономика,Технологии,Россия,Центральный Банк РФ (ЦБ РФ)"
